# _tick,_time,frames,mean_episode_return_landlord,loss_landlord,mean_episode_return_landlord_up,loss_landlord_up,mean_episode_return_landlord_down,loss_landlord_down
1307,1776205344.6895576,4182400,0.16961263120174408,1.6478453874588013,-0.17116445302963257,2.756943941116333,-0.17068099975585938,2.851137638092041
1308,1776205344.9886384,4185600,0.1699213683605194,2.1186742782592773,-0.17116445302963257,2.756943941116333,-0.17068099975585938,2.851137638092041
1309,1776205347.2624679,4188800,0.1699213683605194,2.1186742782592773,-0.1716129332780838,1.9632132053375244,-0.17068099975585938,2.851137638092041
1310,1776205348.440773,4192000,0.1699213683605194,2.1186742782592773,-0.1716129332780838,1.9632132053375244,-0.1708206832408905,1.8343355655670166
1311,1776205350.5297985,4195200,0.17134355008602142,1.7577096223831177,-0.1716129332780838,1.9632132053375244,-0.1708206832408905,1.8343355655670166
1312,1776205354.1904056,4198400,0.17134355008602142,1.7577096223831177,-0.17179082334041595,1.8190752267837524,-0.1708206832408905,1.8343355655670166
1313,1776205354.313274,4201600,0.16934898495674133,1.6850123405456543,-0.17179082334041595,1.8190752267837524,-0.1708206832408905,1.8343355655670166
1314,1776205354.5777774,4204800,0.16934898495674133,1.6850123405456543,-0.17179082334041595,1.8190752267837524,-0.16946808993816376,1.8089911937713623
1315,1776205356.9272053,4208000,0.16934898495674133,1.6850123405456543,-0.16963034868240356,2.133211851119995,-0.16946808993816376,1.8089911937713623
1316,1776205358.3485522,4211200,0.16934898495674133,1.6850123405456543,-0.16963034868240356,2.133211851119995,-0.16698455810546875,2.205662727355957
1317,1776205359.5005438,4214400,0.1682025045156479,1.702260971069336,-0.16963034868240356,2.133211851119995,-0.16698455810546875,2.205662727355957
1318,1776205363.1605132,4217600,0.16805198788642883,1.9646426439285278,-0.16963034868240356,2.133211851119995,-0.16698455810546875,2.205662727355957
1319,1776205363.7279317,4220800,0.16805198788642883,1.9646426439285278,-0.16804952919483185,2.32572078704834,-0.16698455810546875,2.205662727355957
1320,1776205364.3650565,4224000,0.16805198788642883,1.9646426439285278,-0.16804952919483185,2.32572078704834,-0.16742455959320068,2.4733095169067383
1321,1776205366.6606448,4227200,0.16805198788642883,1.9646426439285278,-0.16517913341522217,2.311720371246338,-0.16742455959320068,2.4733095169067383
1322,1776205367.9749959,4230400,0.16805198788642883,1.9646426439285278,-0.16517913341522217,2.311720371246338,-0.1662144958972931,2.167318820953369
1323,1776205368.8272538,4233600,0.1668378859758377,1.69725501537323,-0.16517913341522217,2.311720371246338,-0.1662144958972931,2.167318820953369
1324,1776205372.867717,4236800,0.16571930050849915,1.818031907081604,-0.16517913341522217,2.311720371246338,-0.1662144958972931,2.167318820953369
1325,1776205373.5081198,4240000,0.16571930050849915,1.818031907081604,-0.16621088981628418,2.158463954925537,-0.1662144958972931,2.167318820953369
1326,1776205373.9091625,4243200,0.16571930050849915,1.818031907081604,-0.16621088981628418,2.158463954925537,-0.164642333984375,2.127190589904785
1327,1776205377.1171815,4246400,0.16571930050849915,1.818031907081604,-0.1677151471376419,2.3903791904449463,-0.164642333984375,2.127190589904785
